pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
BK,BC,0.033045542,338.3993646,1.91060172,7.04543103
BM,BC,0.031860145,38.33874201,1.128366763,5.80181035
BN,BC,0.035683012,32.18996964,1.184813754,5.41025863
BO,BC,0.059016254,91.62349261,2.499713467,10.43801724
BR,BC,0.025166393,30.97641199,1.74269341,6.0824138
CH,BC,0.053900213,304.2181446,2.823495702,9.47655172
H2,BC,0.15601057,510.4358414,2.352148998,13.91189656
LG,BC,0.130292568,626.0500282,4.308882522,13.31129311
MC,BC,0.153391544,505.3234894,2.787679083,12.73189656
BE,BD,0.098830162,387.9754754,1.183381089,1.08896552
BF,BD,0.116471649,278.2627932,0.180515759,17.37422414
BG,BD,0.131359573,437.6658482,1.348424069,10.05387931
BH,BD,0.115706815,412.7613715,0.17277937,5.11672414
BI,BD,0.06413424,209.2653099,0.065616046,3.83508621
BK,BD,0.034977714,323.4337239,0.118624642,3.31913793
BM,BD,0.025277775,60.69137663,0.663610315,9.52810345
BN,BD,0.031192568,52.87503791,0.607163324,9.13655173
BO,BD,0.052312304,67.50576578,0.707736389,6.71172414
BR,BD,0.01794721,46.04653935,0.049283668,9.8087069
CH,BD,0.053842142,309.1499877,1.031518624,5.75025862
H2,BD,0.161881012,528.9781719,0.56017192,17.63818966
LG,BD,0.142286632,634.0821419,2.516905444,17.03758621
MC,BD,0.163765653,524.479989,0.995702005,16.45818966
BF,BE,0.100770401,113.9838055,1.363896848,16.28525862
BG,BE,0.104072575,49.73886804,0.16504298,8.96491379
BH,BE,0.085490289,33.45927272,1.010601719,4.02775862
BI,BE,0.104501814,198.8693858,1.117765043,2.74612069
BK,BE,0.04714328,76.83009304,1.302005731,2.23017241
BM,BE,0.090411412,393.85539,0.519770774,10.61706897
BN,BE,0.100781419,389.2538158,0.576217765,10.22551725
BO,BE,0.094204991,335.6127348,1.891117478,5.62275862
BR,BE,0.083148421,379.2250687,1.134097421,10.89767242
CH,BE,0.050961545,244.4282337,2.214899713,4.6612931
H2,BE,0.137610304,547.499125,1.743553009,18.72715518
LG,BE,0.103015018,450.2151662,3.700286533,18.12655173
MC,BE,0.142653787,555.7326171,2.179083094,17.54715518
BG,BF,0.128828698,163.1332174,1.528939828,7.32034483
BH,BF,0.136525071,143.8028514,0.353295129,12.2575
BI,BF,0.108673095,118.4260223,0.246131805,13.53913793
BK,BF,0.046658305,77.87826952,0.061891117,14.05508621
BM,BF,0.10193927,280.3429564,0.844126074,26.90232759
BN,BF,0.118831099,276.0001222,0.787679083,26.51077587
BO,BF,0.106141521,231.8379838,0.52722063,10.6625
BR,BF,0.097989437,266.2875782,0.229799427,27.18293104
CH,BF,0.053655828,172.5272563,0.851002865,11.62396552
H2,BF,0.140813104,487.6795883,0.379656161,35.0124138
LG,BF,0.122359718,454.2969956,2.336389685,34.41181035
MC,BF,0.156138561,492.8623139,0.815186246,33.8324138
BH,BG,0.098842475,32.97061834,1.175644699,4.93715517
BI,BG,0.1262105,245.8855791,1.282808023,6.2187931
BK,BG,0.061828024,121.7999349,1.467048711,6.73474138
BM,BG,0.118180802,443.3374321,0.684813754,19.58198276
BN,BG,0.122022215,438.8168615,0.741260745,19.19043104
BO,BG,0.125628953,384.7619877,2.056160458,3.34215517
BR,BG,0.118358591,428.852828,1.299140401,19.86258621
CH,BG,0.075877018,278.9419751,2.379942693,4.30362069
H2,BG,0.168317632,571.2739131,1.908595989,27.69206897
LG,BG,0.126487117,448.2817915,3.865329513,27.09146552
MC,BG,0.162584366,580.6992978,2.344126074,26.51206897
BI,BH,0.113586351,216.4083633,0.107163324,1.28163793
BK,BH,0.046075015,92.11382176,0.291404012,1.79758621
BM,BH,0.105873347,421.7105866,0.490830945,14.64482759
BN,BH,0.119258015,416.7769847,0.434383954,14.25327587
BO,BH,0.104760535,357.7820681,0.880515759,1.595
BR,BH,0.096829479,406.421206,0.123495702,14.92543104
CH,BH,0.069264169,277.5270171,1.204297994,0.63353448
H2,BH,0.179467824,578.541116,0.73295129,22.7549138
LG,BH,0.152662493,470.5497528,2.689684814,22.15431035
MC,BH,0.182833613,587.1091584,1.168481375,21.5749138
BK,BI,0.03312993,124.3450932,0.184240688,0.51594828
BM,BI,0.058128977,235.8667447,0.597994269,13.36318966
BN,BI,0.068373828,228.8095798,0.541547278,12.97163794
BO,BI,0.061564822,146.6895919,0.773352435,2.87663793
BR,BI,0.056858825,216.8496201,0.016332378,13.64379311
CH,BI,0.047014862,261.2194949,1.09713467,1.91517241
H2,BI,0.144682944,565.7583908,0.625787966,21.47327587
LG,BI,0.127230348,567.897016,2.58252149,20.87267242
